2101,NSW,CASTLEREAGH,CALTEX,1141 CASTLEREAGH ROAD,2749,02 47761385,1,1,0,1,0,1,0,0,1,,0,,1,1,1,No,TRUE,0,1,150.676771,-33.669433
2102,QLD,CANUNGRA,CALTEX,6 CHRISTIE ST,4275,07 55435226,1,1,0,0,1,1,0,0,1,,0,,0,1,1,Yes,TRUE,0,1,153.161722,-28.01665
2103,VIC,COBURG,CALTEX,114-116 SYDNEY ROAD,3058,03 93842746,0,1,0,1,1,0,0,1,1,,1,,0,1,1,No,FALSE,0,1,144.964783,-37.752241
2104,TAS,DERWENT BRIDGE,INDEPENDENT,LYELL HIGHWAY,7140,03 62891125,0,1,1,0,0,1,0,0,1,Yes,0,,0,0,0,No,FALSE,0,0,146.232347,-42.131492
2105,VIC,LITTLE RIVER,INDEPENDENT,28-32 LITTLE RIVER RD,3211,03 52831297,0,1,0,0,0,1,0,0,1,Yes,0,,0,1,1,No,FALSE,0,0,144.507553,-37.962148
2106,WA,MOUNT MAGNET,INDEPENDENT,HEPBURN ST,6638,08 99634844,0,1,1,0,1,1,0,0,1,,1,,0,0,0,Yes,FALSE,0,0,117.848677,-28.065227
2107,SA,RENMARK,AMPOL,52 TWENTY FIRST ST,5341,08 85865966,0,0,0,0,0,1,0,0,1,,1,,0,0,0,No,FALSE,0,0,140.739148,-34.183483
2108,SA,PORT PIRIE,CALTEX,118 MAIN RD,5540,08 86330640,0,1,0,1,1,1,0,0,1,,0,,0,0,0,No,FALSE,0,0,138.02087,-33.184783
2109,WA,MULLEWA,AMPOL,21 CNR JOSE AND PADBURY STREET,6630,08 99611196,0,1,1,0,0,1,0,0,1,Yes,0,,0,0,0,No,FALSE,0,0,115.511901,-28.539988
2110,SA,JAMESTOWN,CALTEX,MANNANARIE RD,5491,08 86641240,0,1,0,1,1,1,0,0,1,,1,,0,0,0,No,TRUE,0,0,138.60947,-33.194221
2111,WA,DENMARK,CALTEX,69 SOUTH COAST HWY,6333,08 98482333,0,1,0,1,1,0,0,1,1,,0,,1,0,1,No,FALSE,0,0,117.351121,-34.961731
